S. No.	Product Name	Product Code	MFR No.	BPR No.	Revision No.	Effective Date	Remarks
202.		NANDROLIN -25 INJ (1ML)	FAMP-0273	MFR/LA/206	BPR/LA/206	02	01/06/2023	Discontinue
203.		LABITOL INJ 4ML	FAMP-0264	MFR/LA/207	BPR/LA/207	01	10/05/2024	NEOVERITAS
204.		LABETAMAP INJ 4ML	FAMP-0260	MFR/LA/208	BPR/LA/208	01	10/05/2024	NEOVERITAS
205.		VOMISHUNT INJECTION 2ML	FAMP-0280	MFR/LA/209	BPR/LA/209	02	19/07/2024	CIPLA LTD
206.		VOMISHUNT INJECTION 4ML	FAMP-0281	MFR/LA/210	BPR/LA/210	02	19/07/2024	CIPLA LTD
207.		ONDISKY INJ 2ML	FAMP-0271	MFR/LA/211	BPR/LA/211	02	10/05/2024	TORRVIS
(SKYMAP)
208.		DICLORAN-AQ INJ 1ML	FAMP-0279	MFR/LA/212	BPR/LA/212	01	22/03/2024	J.B CHEMICALS & PHARMACEUTICALS
209.		DECAL -6L INJECTION (1ML)	FAMP-0283	MFR/LA/213	BPR/LA/213	01	19/01/2025	ERIS HEALTHCARE
210.		KETROSKY INJ 1ML	FAMP-0282	MFR/LA/214	BPR/LA/214	02	02/04/2025	QADERI WARDAK
211.		INFATRAX INJ 5ML	FAMP-0284	MFR/LA/215	BPR/LA/215	01	29/01/2025	OK
212.		INFACLIND  INJ 4ML	FAMP-0285	MFR/LA/216	BPR/LA/216	01	15/01/2024	INFALLIBLE 
213.		INFACLIND INJ 2ML	FAMP-0286	MFR/LA/217	BPR/LA/217	00	16/07/2022	INFALLIBLE
214.		DITIM INJ 2ML	FAMP-0289	MFR/LA/218	BPR/LA/218	03	07/03/2025	GERMAN REMEDIES
215.		CLINDAPAL 600 MG INJECTION 4 ML 	FAMP-0287	MFR/LA/220	BPR/LA/220	01	15/01/2024	JAGSONPAL
216.		DROTAVERT INJECTION 2ML	FAMP-0294	MFR/LA/221	BPR/LA/221	01	08/03/2025	ALBERT DAVID LIMITED
217.		DROTAC INJECTION 2ML	FAMP-0295	MFR/LA/222	BPR/LA/222	01	07/03/2025	JAGSONPAL PHARMACEUTICAL
218.		LABETOPAL INJECTION 4ML	FAMP-0288	MFR/LA/223	BPR/LA/223	01	10/05/2024	JAGSONPAL
219.		KEMOBET INJECTION 1ML	FAMP-0292	MFR/LA/224	BPR/LA/224	02	01/05/2026	ALKEM LTD.
220.		KEMPHYLLINE INJECTION 2ML	FAMP-0293	MFR/LA/225	BPR/LA/225	03	01/05/2026	Alkem Wellness Ltd.
221.		POTASKY INJECTION 10 ML	FAMP-0290	MFR/LA/226	BPR/LA/226	00	21/12/2022	TORRVIS
222.		OPTIFENAC-75 INJECTION 1 ML	FAMP-0291	MFR/LA/227	BPR/LA/227	01	31/07/2023	Ajanta pharma
223.		RANITIDINE INJECTION USP 2 ML	FAMPE-0001	MFR/LA/228	BPR/LA/228	01	30/11/2024	EXPORT
224.		ND BEST 25 INJECTION 	FAMP-0299	MFR/LA/229	BPR/LA/229	00	28/12/22	Discontinue
225.		BETZUR INJECTION 1 ML	FAMP-0298	MFR/LA/230	BPR/LA/230	01	07/01/2025	JB Chemical
226.		DECATROY 50 INJ. 	FAMP-0297	MFR/LA/231	BPR/LA/231	00	04/01/2023	Discontinue
227.		CLINTOP INJECTION  
(4 ML)	FAMP-0301	MFR/LA/232	BPR/LA/232	01	16/01/2024	GREMAN 
(ZYDUS)
228.		RANITAS INJ. 2 ML	FAMP-0309	MFR/LA/233	BPR/LA/233	01	06/03/2024	Intas
229.		RANLOC INJ. 2 ML	FAMP-0310	MFR/LA/234	BPR/LA/234	01	04/03/2024	INTAS 
230.		ONDET	FAMP-0305	MFR/LA/236	BPR/LA/236	00	11/01/2023	INTAS 
231.		MONOLOC INJ. IP 2 ML	FAMP-0311	MFR/LA/237	BPR/LA/237	01	06/03/2024	INTAS
232.		ONDABEST INJ. 2 ML	FAMP-0296	MFR/LA/235	BPR/LA/235	00	11/01/2023	
